"","V1","V4","variable","value","uniqueID","col"
"1","AG22671","E. micrantha","inHull_All_1","FALSE",1,"no assignment"
"2","AS15247","E. micrantha","inHull_All_1","FALSE",2,"no assignment"
"3","AS8791","E. micrantha","inHull_All_1","FALSE",3,"no assignment"
"4","AS9297","E. micrantha","inHull_All_1","FALSE",4,"no assignment"
"5","BK493","E. micrantha","inHull_All_1","FALSE",5,"no assignment"
"6","FZ241","E. micrantha","inHull_All_1","FALSE",6,"no assignment"
"7","FZ242","E. micrantha","inHull_All_1","FALSE",7,"no assignment"
"8","FZ243","E. micrantha","inHull_All_1","FALSE",8,"no assignment"
"9","FZ245A","E. micrantha","inHull_All_1","FALSE",9,"no assignment"
"10","MD6482","E. micrantha","inHull_All_1","FALSE",10,"no assignment"
"11","PJ98","E. micrantha","inHull_All_1","FALSE",11,"no assignment"
"12","AJ1598","E. millegrana","inHull_All_1","FALSE",12,"no assignment"
"13","AS148","E. millegrana","inHull_All_1","FALSE",13,"no assignment"
"14","AS34715","E. millegrana","inHull_All_1","FALSE",14,"no assignment"
"15","FZU10219A","E. millegrana","inHull_All_1","FALSE",15,"no assignment"
"16","FZU10362A","E. millegrana","inHull_All_1","FALSE",16,"no assignment"
"17","FZU10398A","E. millegrana","inHull_All_1","FALSE",17,"no assignment"
"18","FZU10398C","E. millegrana","inHull_All_1","FALSE",18,"no assignment"
"19","FZU10413","E. millegrana","inHull_All_1","FALSE",19,"no assignment"
"20","IV108","E. millegrana","inHull_All_1","FALSE",20,"no assignment"
"21","IV940","E. millegrana","inHull_All_1","FALSE",21,"no assignment"
"22","JG492","E. millegrana","inHull_All_1","FALSE",22,"no assignment"
"23","JS10229","E. millegrana","inHull_All_1","FALSE",23,"no assignment"
"24","JS10315","E. millegrana","inHull_All_1","FALSE",24,"no assignment"
"25","JS17904","E. millegrana","inHull_All_1","FALSE",25,"no assignment"
"26","JW11737","E. millegrana","inHull_All_1","FALSE",26,"no assignment"
"27","JW8314","E. millegrana","inHull_All_1","FALSE",27,"no assignment"
"28","JW8984","E. millegrana","inHull_All_1","FALSE",28,"no assignment"
"29","MBL1130","E. millegrana","inHull_All_1","FALSE",29,"no assignment"
"30","MS7323","E. millegrana","inHull_All_1","FALSE",30,"no assignment"
"31","RK3415","E. millegrana","inHull_All_1","FALSE",31,"no assignment"
"32","RR71","E. millegrana","inHull_All_1","FALSE",32,"no assignment"
"33","WE25045","E. millegrana","inHull_All_1","FALSE",33,"no assignment"
"34","AG22671","E. micrantha","inHull_All_2","FALSE",1,"no assignment"
"35","AS15247","E. micrantha","inHull_All_2","FALSE",2,"no assignment"
"36","AS8791","E. micrantha","inHull_All_2","FALSE",3,"no assignment"
"37","AS9297","E. micrantha","inHull_All_2","FALSE",4,"no assignment"
"38","BK493","E. micrantha","inHull_All_2","FALSE",5,"no assignment"
"39","FZ241","E. micrantha","inHull_All_2","FALSE",6,"no assignment"
"40","FZ242","E. micrantha","inHull_All_2","FALSE",7,"no assignment"
"41","FZ243","E. micrantha","inHull_All_2","FALSE",8,"no assignment"
"42","FZ245A","E. micrantha","inHull_All_2","FALSE",9,"no assignment"
"43","MD6482","E. micrantha","inHull_All_2","FALSE",10,"no assignment"
"44","PJ98","E. micrantha","inHull_All_2","FALSE",11,"no assignment"
"45","AJ1598","E. millegrana","inHull_All_2","FALSE",12,"no assignment"
"46","AS148","E. millegrana","inHull_All_2","FALSE",13,"no assignment"
"47","AS34715","E. millegrana","inHull_All_2","FALSE",14,"no assignment"
"48","FZU10219A","E. millegrana","inHull_All_2","FALSE",15,"no assignment"
"49","FZU10362A","E. millegrana","inHull_All_2","FALSE",16,"no assignment"
"50","FZU10398A","E. millegrana","inHull_All_2","FALSE",17,"no assignment"
"51","FZU10398C","E. millegrana","inHull_All_2","FALSE",18,"no assignment"
"52","FZU10413","E. millegrana","inHull_All_2","FALSE",19,"no assignment"
"53","IV108","E. millegrana","inHull_All_2","FALSE",20,"no assignment"
"54","IV940","E. millegrana","inHull_All_2","FALSE",21,"no assignment"
"55","JG492","E. millegrana","inHull_All_2","FALSE",22,"no assignment"
"56","JS10229","E. millegrana","inHull_All_2","FALSE",23,"no assignment"
"57","JS10315","E. millegrana","inHull_All_2","FALSE",24,"no assignment"
"58","JS17904","E. millegrana","inHull_All_2","FALSE",25,"no assignment"
"59","JW11737","E. millegrana","inHull_All_2","FALSE",26,"no assignment"
"60","JW8314","E. millegrana","inHull_All_2","FALSE",27,"no assignment"
"61","JW8984","E. millegrana","inHull_All_2","FALSE",28,"no assignment"
"62","MBL1130","E. millegrana","inHull_All_2","FALSE",29,"no assignment"
"63","MS7323","E. millegrana","inHull_All_2","FALSE",30,"no assignment"
"64","RK3415","E. millegrana","inHull_All_2","FALSE",31,"no assignment"
"65","RR71","E. millegrana","inHull_All_2","FALSE",32,"no assignment"
"66","WE25045","E. millegrana","inHull_All_2","FALSE",33,"no assignment"
